회사명,종목코드
티엘아이,062860
티케이케미칼,104480
파라텍,033540
파커스,065690
패션플랫폼,225590
팬스타엔터프라이즈,054300
포스코DX,022100
푸드웰,005670
피에스케이홀딩스,031980
피제이전자,006140
하이즈항공,221840
한국경제TV,039340
한국맥널티,222980
한국정보통신,025770
한솔인티큐브,070590
한양디지텍,078350
현대바이오,048410
현대바이오랜드,052260
화성밸브,039610
휴림로봇,090710
희림,037440
관악산업,076340
나눔테크,244880
씨앗,103660
유투바이오,221800
큐엠씨,136660
휴벡셀,212310
AK홀딩스,006840
CJ CGV,079160
CJ씨푸드,011150
CJ제일제당,097950
CS홀딩스,000590
DL,000210
DSR제강,069730
F&F 홀딩스,007700
GS건설,006360
GS리테일,007070
HDC,012630
KB금융,105560
SKC,011790
SK디스커버리,006120
SK디앤디,210980
SNT모티브,064960
강원랜드,035250
경동나비엔,009450
계룡건설산업,013580
교보증권,030610
금강공업,014280
금호건설,002990
금호전기,001210
녹십자,006280
농심,004370
대구백화점,006370
대성에너지,117580
대우건설,047040
대우부품,009320
대원강업,000430
대원제약,003220
대유플러스,000300
대한방직,001070
대한전선,001440
대한해운,005880
덕양산업,024900
도화엔지니어링,002150
동아에스티,170900
동아지질,028100
동양생명,082640
동원F&B,049770
동원금속,018500
디아이,003160
롯데정밀화학,004000
무학,033920
보락,002760
빙그레,005180
사조대림,003960
삼화페인트공업,000390
서원,021050
세방,004360
세원정공,021820
세이브존I&C,067830
세종공업,033530
신송홀딩스,006880
신일전자,002700
신한지주,055550
씨에스윈드,112610
아이마켓코리아,122900
에스메디,118000
엔씨소프트,036570
영보화학,014440
유니온머티리얼,047400
유니켐,011330
인디에프,014990
일동홀딩스,000230
제이준코스메틱,025620
조흥,002600
진양산업,003780
청호ICT,012600
체시스,033250
케이씨,029460
케이티스카이라이프,053210
코리아써키트,007810
코스모신소재,005070
코아스,071950
코오롱,002020
태광산업,003240
태영건설,009410
티비에이치글로벌,084870
풍산홀딩스,005810
하나투어,039130
하이트진로,000080
한국전자홀딩스,006200
한국종합기술,023350
한국콜마홀딩스,024720
한국타이어앤테크놀로지,161390
한미약품,128940
한올바이오파마,009420
한창,005110
현대로템,064350
호텔신라,008770
화승인더스트리,006060
화인베스틸,133820
화천기공,000850
환인제약,016580
효성,004800
흥국화재,000540
APS,054620
CBI,013720
CG인바이츠,083790
CJ ENM,035760
CMG제약,058820
CNH,023460
CS,065770
HRS,036640
KG모빌리언스,046440
MIT,038340
NHN KCP,060250
SFA반도체,036540
TKG애강,022220
iMBC,052220
갤럭시아머니트리,094480
고영,098460
국영지앤엠,006050
나노엔텍,039860
나이벡,138610
네오위즈홀딩스,042420
네오팜,092730
누리플렉스,040160
뉴지랩파마,214870
다날,064260
대성파인텍,104040
대양제지,006580
대창솔루션,096350
동아엘텍,088130
동원개발,013120
동일금속,109860
디스플레이텍,066670
디엔에프,092070
디와이피엔에프,104460
딜리,131180
레드캡투어,038390
리더스코스메틱,016100
매일홀딩스,005990
멀티캠퍼스,067280
메이슨캐피탈,021880
메타바이오메드,059210
멕아이씨에스,058110
모두투어,080160
무림SP,001810
부스타,008470
비엘,142760
비트컴퓨터,032850
사람인,143240
삼륭물산,014970
삼보산업,009620
삼일기업공사,002290
삼화네트웍스,046390
상보,027580
상신이디피,091580
상아프론테크,089980
상지카일룸,042940
서울리거,043710
성도이엔지,037350
성우하이텍,015750
세명전기,017510
세토피아,222810
셀바스AI,108860
솔고바이오,043100
슈프리마,236200
시티랩스,139050
신라섬유,001000
쎄트렉아이,099320
씨아이에스,222080
아가방컴퍼니,013990
아모텍,052710
아이엠,101390
안국약품,001540
에스아이리소스,065420
에스티팜,237690
에이티세미콘,089530
에코볼트,097780
에프알텍,073540
엑시콘,092870
엔터파트너즈,058450
엔투텍,227950
엘엠에스,073110
엠벤처투자,019590
영풍정밀,036560
예림당,036000
오공,045060
오성첨단소재,052420
옵트론텍,082210
와이지-원,019210
우림피티에스,101170
우수AMS,066590
원익피앤이,217820
원익홀딩스,030530
원일특강,012620
위니아,071460
위메이드,112040
이글벳,044960
이노시스,056090
이녹스,088390
이브이첨단소재,131400
이엔코퍼레이션,066980
이원컴포텍,088290
이크레더블,092130
인선이엔티,060150
인텔리안테크,189300
인포뱅크,039290
일월지엠엘,178780
제로투세븐,159580
제이브이엠,054950
젬백스링크,064800
조이시티,067000
지니뮤직,043610
커넥트웨이브,119860
커머스마이너,223310
케이씨피드,025880
케이엠,083550
코메론,049430
코아시아,045970
코위버,056360
크루셜텍,114120
태광,023160
테고사이언스,191420
텔레칩스,054450
토박스코리아,215480
파나케이아,058530
파루,043200
파수,150900
파인디지털,038950
팬엔터테인먼트,068050
포스코엠텍,009520
풍강,093380
피에이치씨,057880
피엔티,137400
픽셀플러스,087600
하나마이크론,067310
하림,136480
하이드로리튬,101670
한국비엔씨,256840
한국정밀기계,101680
한국정보인증,053300
한국컴퓨터,054040
한국테크놀로지,053590
한빛소프트,047080
한일화학,007770
현대이지웰,090850
협진,138360
휴림에이텍,078590
휴마시스,205470
휴온스글로벌,084110
흥국에프엔비,189980
대주이엔티,114920
도부마스크,227420
미래엔에듀파트너,208890
에이치엔에스하이텍,044990
큐러블,086460
DGB금융지주,139130
DN오토모티브,007340
LG전자,066570
LS전선아시아,229640
SBS,034120
SK가스,018670
SK네트웍스,001740
SK렌터카,068400
STX중공업,071970
YG PLUS,037270
국동,005320
국제약품,002720
금호타이어,073240
남선알미늄,008350
다이나믹디자인,145210
대한유화,006650
동방아그로,007590
동서,026960
동성케미컬,102260
동양,001520
동양철관,008970
동원산업,006040
동원수산,030720
동원시스템즈,014820
롯데칠성음료,005300
마니커,027740
맥쿼리인프라,088980
모토닉,009680
미래산업,025560
미래에셋생명,085620
백산,035150
사조씨푸드,014710
삼성물산,028260
삼성바이오로직스,207940
삼성카드,029780
삼영무역,002810
삼일제약,000520
삼정펄프,009770
샘표식품,248170
서연이화,200880
성보화학,003080
성신양회,004980
송원산업,004430
신성이엔지,011930
신세계푸드,031440
쌍용씨앤이,003410
씨아이테크,004920
애경케미칼,161000
에스엠벡셀,010580
에이리츠,140910
에코바이브,015540
엔에이치엔,181710
영흥,012160
예스코홀딩스,015360
우성,006980
유니드,014830
유화증권,003460
이구산업,025820
이노션,214320
이마트,139480
이스타코,015020
이아이디,093230
제이에스코퍼레이션,194370
제일기획,030000
종근당바이오,063160
지역난방공사,071320
진도,088790
진양홀딩스,100250
진양화학,051630
카프로,006380
태평양물산,007980
텔코웨어,078000
팜스코,036580
포스코인터내셔널,047050
하이스틸,071090
한국가스공사,036460
한국수출포장공업,002200
한국앤컴퍼니,000240
한국자산신탁,123890
한국주강,025890
한솔홀딩스,004150
한신기계공업,011700
한온시스템,018880
한창제지,009460
해태제과식품,101530
현대글로비스,086280
효성 ITX,094280
휴니드테크놀러지스,005870
DGP,060900
EG,037370
ES큐브,050120
ISC,095340
KCI,036670
KX,122450
NEW,160550
SBI핀테크솔루션즈,950110
SCI평가정보,036120
SG&G,040610
SGA솔루션즈,184230
SGC이테크건설,016250
강원에너지,114190
경남제약,053950
고려시멘트,198440
고려제약,014570
골든센츄리,900280
국일신동,060480
국일제지,078130
기가레인,049080
나노,187790
나무가,190510
남화토건,091590
넥스트아이,137940
노블엠앤비,106520
다산네트웍스,039560
대명소노시즌,007720
대원산업,005710
대한광통신,010170
도이치모터스,067990
동국제약,086450
동일기연,032960
동화기업,025900
듀오백,073190
디지아이,043360
디지털대성,068930
디케이락,105740
레고켐바이오,141080
로보스타,090360
루멘스,038060
미래컴퍼니,049950
바이오로그디바이스,208710
브리지텍,064480
비보존 제약,082800
비씨월드제약,200780
삼목에스폼,018310
삼천리자전거,024950
삼현철강,017480
서산,079650
성호전자,043260
세운메디칼,100700
세원물산,024830
스마트솔루션즈,136510
시큐브,131090
신라젠,215600
쎄노텍,222420
아이즈비전,031310
아즈텍WB,032080
아진산업,013310
알에프세미,096610
알티캐스트,085810
알파홀딩스,117670
애니젠,196300
애머릿지,900100
얼라인드,238120
에이스침대,003800
에코마케팅,230360
엔지스테크널러지,208860
엔케이맥스,182400
엔텔스,069410
엘디티,096870
엘아이에스,138690
오로라,039830
오텍,067170
우리넷,115440
우리바이오,082850
우진비앤지,018620
위닉스,044340
위메이드맥스,101730
유비벨록스,089850
이노와이어리스,073490
이니텍,053350
이미지스,115610
이엔에프테크놀로지,102710
이엠코리아,095190
이큐셀,160600
인바디,041830
인지디스플레,037330
인콘,083640
인트로메딕,150840
재영솔루텍,049630
제넥신,095700
제이티,089790
제일테크노스,038010
진성티이씨,036890
캠시스,050110
컴투스,078340
케어젠,214370
케이씨티,089150
케이피에프,024880
코렌텍,104540
코스맥스엔비티,222040
코스메카코리아,241710
코오롱생명과학,102940
코이즈,121850
태양,053620
토비스,051360
티비씨,033830
파마리서치,214450
파버나인,177830
펩트론,087010
프로텍,053610
피델릭스,032580
하이로닉,149980
한국알콜,017890
한일단조,024740
현우산업,092300
럭스피아,092590
비엘헬스케어,086220
씨앤에스링크,245450
에스엘테라퓨틱스,258540
태양기계,116100
CJ대한통운,000120
DB손해보험,005830
DB하이텍,000990
E1,017940
HMM,011200
KEC,092220
KPX홀딩스,092230
LG화학,051910
LIG넥스원,079550
NH투자증권,005940
NICE,034310
SH에너지화학,002360
SK증권,001510
SK텔레콤,017670
WISCOM,024070
경인양행,012610
경인전자,009140
기신정기,092440
까뮤이앤씨,013700
넥센타이어,002350
대덕,008060
대림비앤코,005750
대양금속,009190
대웅제약,069620
대창,012800
대한항공,003490
대호에이엘,069460
동화약품,000020
두산밥캣,241560
디아이동일,001530
디아이씨,092200
디와이,013570
롯데관광개발,032350
롯데케미칼,011170
맵스리얼티1,094800
메리츠금융지주,138040
모두투어리츠,204210
미래아이앤지,007120
바다로19호,155900
부산산업,011390
부산주공,005030
사조산업,007160
삼화왕관,004450
서연,007860
세아특수강,019440
세우글로벌,013000
세진중공업,075580
신성통상,005390
써니전자,004770
아세아제지,002310
에넥스,011090
에스제이엠,123700
엔피씨,004250
영원무역,111770
영원무역홀딩스,009970
용평리조트,070960
우신시스템,017370
우진플라임,049800
유안타증권,003470
유진증권,001200
이수페타시스,007660
이연제약,102460
인스코비,006490
제주은행,006220
조광페인트,004910
지엠비코리아,013870
참엔지니어링,009310
케이씨씨,002380
태경케미컬,006890
페이퍼코리아,001020
평화산업,090080
플레이그램,009810
한국전력공사,015760
한국제지,027970
한국철강,104700
한국콜마,161890
한국패러랠,168490
한미글로벌,053690
한미반도체,042700
한샘,009240
한신공영,004960
한양증권,001750
한진중공업홀딩스,003480
한화투자증권,003530
현대제철,004020
현대퓨처넷,126560
화승코퍼레이션,013520
황금에스티,032560
DSC인베스트먼트,241520
DSEN,065150
DXVX,180400
GST,083450
HLB이노베이션,024850
JW신약,067290
LB세미콘,061970
MDS테크,086960
NHN벅스,104200
PN풍년,024940
SDN,099220
TS인베스트먼트,246690
가비아,079940
경남스틸,039240
경동제약,011040
글로벌텍스프리,204620
내츄럴엔도텍,168330
네오리진,094860
넥슨게임즈,225570
뉴프렉스,085670
다산솔루에타,154040
대동기어,008830
대성미생물,036480
대양전기공업,108380
대주산업,003310
동일철강,023790
동진쎄미켐,005290
드림어스컴퍼니,060570
디알텍,214680
디엔에이링크,127120
라이온켐텍,171120
램테크놀러지,171010
랩지노믹스,084650
레이언스,228850
리노스,039980
링네트,042500
메가스터디교육,215200
메디톡스,086900
모베이스전자,012860
미코,059090
바른손,018700
바이오톡스텍,086040
바이온,032980
베노티앤알,206400
부방,014470
블루콤,033560
비에이치아이,083650
삼일,032280
삼지전자,037460
새로닉스,042600
서울반도체,046890
서원인텍,093920
서호전기,065710
성창오토텍,080470
세보엠이씨,011560
세중,039310
슈프리마에이치큐,094840
스튜디오산타클로스,204630
스피어파워,203690
시그네틱스,033170
시노펙스,025320
아세아텍,050860
아이윈플러스,123010
알톤스포츠,123750
액션스퀘어,205500
에스엔유,080000
에스엘에너지,214310
에스와이,109610
에스텍파마,041910
에이루트,096690
에프에스티,036810
엑셈,205100
엑스큐어,070300
엘오티베큠,083310
엠케이전자,033160
오가닉티코스메틱,900300
오르비텍,046120
오상자이엘,053980
옵투스제약,131030
와이아이케이,232140
와이어블,065530
우리산업홀딩스,072470
원익QnC,074600
유니슨,018000
유니트론텍,142210
유아이디,069330
이글루,067920
이루온,065440
이상네트웍스,080010
이수앱지스,086890
잉글우드랩,950140
장원테크,174880
제너셈,217190
제룡전기,033100
지씨셀,144510
지엔코,065060
차바이오텍,085660
참좋은여행,094850
칩스앤미디어,094360
케이바이오,038530
케이사인,192250
케이아이엔엑스,093320
켐트로스,220260
코세스,089890
코아스템켐온,166480
코아시아씨엠,196450
코엔텍,029960
큐브엔터,182360
크레버스,096240
태웅,044490
테라사이언스,073640
테크윙,089030
티씨케이,064760
파라다이스,034230
파인텍,131760
파크시스템스,140860
포시에스,189690
폴라리스우노,114630
풍국주정,023900
퓨쳐켐,220100
플래스크,041590
피씨디렉트,051380
하이텍팜,106190
한솔아이원스,114810
한일사료,005860
한컴위드,054920
해성옵틱스,076610
현대에이치티,039010
형지I&C,011080
효성오앤비,097870
휴센텍,215090
바이오프로테크,199290
썬테크,217320
안지오랩,251280
이비테크,208850
틸론,217880
한중엔시에스,107640
CJ,001040
HJ중공업,097230
HL홀딩스,060980
JW중외제약,001060
JW홀딩스,096760
KG스틸,016380
KIB플러그에너지,015590
KISCO홀딩스,001940
LG디스플레이,034220
LS,006260
LX인터내셔널,001120
OCI홀딩스,010060
SK하이닉스,000660
기아,000270
남양유업,003920
남해화학,025860
대동전자,008110
대상,001680
대성홀딩스,016710
대한제강,084010
대한제당,001790
더존비즈온,012510
모나미,005360
미창석유공업,003650
백광산업,001340
범양건영,002410
벽산,007210
부광약품,003000
부국철강,026940
비비안,002070
비상교육,100220
삼성생명,032830
삼영,003720
삼화전기,009470
샘표,007540
서흥,008490
성안,011300
세아베스틸지주,001430
세원이앤씨,091090
시알홀딩스,000480
신라교역,004970
신영와코루,005800
신영증권,001720
신원,009270
신풍제약,019170
아모레퍼시픽그룹,002790
아세아시멘트,183190
에스엘,005850
에이블씨엔씨,078520
에이프로젠바이오로직스,003060
엘브이엠씨,900140
웰바이오텍,010600
유니온,000910
유한양행,000100
이건산업,008250
이월드,084680
인바이오젠,101140
인천도시가스,034590
인팩,023810
일진전기,103590
제일연마,001560
조광피혁,004700
조선선재,120030
컨버즈,109070
케이비아이동국실업,001620
코리안리,003690
코오롱플라스틱,138490
쿠쿠홀딩스,192400
크라운해태홀딩스,005740
태림포장,011280
태원물산,001420
티에이치엔,019180
퍼스텍,010820
퍼시스,016800
한국공항,005430
한국금융지주,071050
한국무브넥스,010100
한국토지신탁,034830
한국항공우주,047810
한독,002390
한솔제지,213500
한솔케미칼,014680
한일현대시멘트,006390
한전기술,052690
한진,002320
한화오션,042660
해성디에스,195870
현대리바트,079430
현대미포조선,010620
현대백화점,069960
현대엘리베이터,017800
현대지에프홀딩스,005440
형지엘리트,093240
혜인,003010
화승엔터프라이즈,241590
휠라홀딩스,081660
3S,060310
CJ프레시웨이,051500
CSA 코스믹,083660
GRT,900290
HLB제약,047920
HLB테라퓨틱스,115450
KCC건설,021320
KG이니시스,035600
KH 건설,226360
KH 전자,111870
SBS콘텐츠허브,046140
TPC,048770
YTN,040300
YW,051390
가온그룹,078890
광림,014200
국순당,043650
나무기술,242040
나이스디앤비,130580
나이스정보통신,036800
네오오토,212560
대동금속,020400
대신정보통신,020180
대원미디어,048910
대한뉴팜,054670
대화제약,067080
더라미,032860
동신건설,025950
동아화성,041930
동우팜투테이블,088910
디모아,016670
디오,039840
디이엔티,079810
로보로보,215100
로스웰,900260
모아텍,033200
미스터블루,207760
바른손이앤에이,035620
바이오니아,064550
바이오스마트,038460
보광산업,225530
본느,226340
블레이드 Ent,044480
삼보모터스,053700
삼진,032750
상상인,038540
서울옥션,063170
서울제약,018680
선광,003100
성우테크론,045300
세종텔레콤,036630
셀피글로벌,068940
쇼박스,086980
스킨앤스킨,159910
신성델타테크,065350
씨큐브,101240
아나패스,123860
안랩,053800
알서포트,131370
어보브반도체,102120
에너토크,019990
에스앤더블류,103230
에스에이엠티,031330
에스티큐브,052020
에스피지,058610
에이비프로바이오,195990
에이프로젠 H&G,109960
에코바이오,038870
엑서지21,043090
엔브이에이치코리아,067570
엘앤에프,066970
엠에스오토텍,123040
엠젠솔루션,032790
오션브릿지,241790
오스템,031510
와이엠씨,155650
와이제이엠게임즈,193250
와토스코리아,079000
우리엔터프라이즈,037400
원익IPS,240810
원풍물산,008290
웨스트라이즈,064090
웰킵스하이텍,043590
위메이드플레이,123420
위지트,036090
윈스,136540
유니크,011320
유진테크,084370
이스트아시아홀딩스,900110
이퓨쳐,134060
이화공영,001840
인터엠,017250
인포마크,175140
인피니트헬스케어,071200
일신바이오,068330
제이스텍,090470
제일바이오,052670
조광ILI,044060
좋은사람들,033340
줌인터넷,239340
중앙백신,072020
중앙첨단소재,051980
진바이오텍,086060
진양제약,007370
카스,016920
케이디켐,221980
케이에스피,073010
케이엠제약,225430
케이티알파,036030
코텍,052330
큐로홀딩스,051780
큐리언트,115180
크리스탈신소재,900250
크린앤사이언스,045520
클래시스,214150
테라젠이텍스,066700
테크엘,064520
팅크웨어,084730
팜스토리,027710
폴라리스오피스,041020
피에이치에이,043370
피제이메탈,128660
한국전자인증,041460
한국큐빅,021650
헝셩그룹,900270
헬릭스미스,084990
현대에버다임,041440
홈캐스트,064240
휴림네트웍스,192410
휴맥스,115160
휴메딕스,200670
휴온스,243070
휴젤,145020
흥구석유,024060
골프존데카,183410
데이터스트림즈,199150
메디젠휴먼케어,236340
블루탑,191600
아이케이세미콘,149010
에스엘에스바이오,246250
에스케이씨에스,224020
엔에스컴퍼니,224760
코셋,189350
BGF,027410
DB,012030
HD현대인프라코어,042670
JW생명과학,234080
KC그린홀딩스,009440
KTcs,058850
LG유플러스,032640
LS네트웍스,000680
NI스틸,008260
S-Oil,010950
SG글로벌,001380
SIMPAC,009160
SNT에너지,100840
SNT홀딩스,036530
SPC삼립,005610
경방,000050
고려제강,002240
광동제약,009290
광주신세계,037710
금비,008870
금호석유화학,011780
대신증권,003540
대영포장,014160
대원전선,006340
대원화성,024890
대유에이텍,002880
대한화섬,003830
덕성,004830
동방,004140
동성제약,002210
동양고속,084670
두산,000150
두산에너빌리티,034020
롯데하이마트,071840
미원상사,002840
사조오양,006090
삼성에스디에스,018260
삼양사,145990
삼원강재,023000
삼익악기,002450
삼천리,004690
상상인증권,001290
서울식품공업,004410
성창기업지주,000180
세아제강지주,003030
수산중공업,017550
신세계,004170
아세아,002030
에스제이엠홀딩스,025530
에이프로젠,007460
영진약품,003520
영풍,000670
유성기업,002920
이엔플러스,074610
일진홀딩스,015860
케이탑리츠,145270
코스모화학,005420
코오롱인더,120110
키움증권,039490
팜젠사이언스,004720
팬오션,028670
하이트론씨스템즈,019490
한국화장품,123690
한국화장품제조,003350
한섬,020000
한솔홈데코,025750
한진칼,180640
한화손해보험,000370
한화에어로스페이스,012450
현대모비스,012330
화천기계,010660
후성,093370
휴스틸,005010
AP위성,211270
DMS,068790
FSN,214270
GH신소재,130500
HLB,028300
HLB생명과학,067630
JYP Ent.,035900
KBI메탈,024840
LS마린솔루션,060370
경창산업,024910
고려신용정보,049720
골드앤에스,035290
국보디자인,066620
기산텔레콤,035460
나노캠텍,091970
네오위즈,095660
네패스,033640
뉴보텍,060260
대림제지,017650
대한약품,023910
덕산하이메탈,077360
덕신하우징,090410
동국S&C,100130
동국산업,005160
동운아나텍,094170
디에스앤엘,141020
디에스케이,109740
라온시큐어,042510
라이트론,069540
마이크로컨텍솔,098120
메지온,140410
모베이스,101330
바텍,043150
뷰웍스,100120
비츠로셀,082920
비츠로테크,042370
비케이홀딩스,050090
빅텍,065450
삼천당제약,000250
서린바이오,038070
서부T&D,006730
서암기계공업,100660
서전기전,189860
세화피앤씨,252500
소프트센,032680
손오공,066910
수산아이앤티,050960
스맥,099440
시너지이노베이션,048870
신라에스지,025870
신일제약,012790
신화콘텍,187270
심텍,222800
싸이맥스,160980
쌍용정보통신,010280
쎄니트,037760
씨티씨바이오,060590
아리온,058220
아미코젠,092040
아비코전자,036010
아이디스홀딩스,054800
아이쓰리시스템,214430
아이오케이,078860
아이톡시,052770
알테오젠,196170
에스에이티,060540
에스유홀딩스,031860
에스코넥,096630
에스티오,098660
에이치엘사이언스,239610
에이테크솔루션,071670
에코프로,086520
에프엔씨엔터,173940
엔시트론,101400
엘컴텍,037950
엠에스씨,009780
연우,115960
예스24,053280
오리엔탈정공,014940
오킨스전자,080580
와이엔텍,067900
와이엠,007530
와이오엠,066430
우원개발,046940
웹젠,069080
유라테크,048430
육일씨엔에쓰,191410
율호,072770
이건홀딩스,039020
이베스트투자증권,078020
이엠앤아이,083470
이엠텍,091120
인탑스,049070
일지테크,019540
제넨바이오,072520
제이에스티나,026040
제이엠아이,033050
젬백스,082270
지더블유바이텍,036180
진로발효,018120
케이씨에스,115500
케이엠더블유,032500
코맥스,036690
코미팜,041960
코웰패션,033290
큐렉소,060280
큐로컴,040350
큐캐피탈,016600
투비소프트,079970
티사이언티픽,057680
티에스이,131290
파세코,037070
포메탈,119500
푸른저축은행,007330
플레이위드,023770
피엠티,147760
한국선재,025550
한창산업,079170
핸디소프트,220180
화신정공,126640
화일약품,061250
휴맥스홀딩스,028080
휴비츠,065510
흥국,010240
KC산업,112190
듀켐바이오,176750
렌딩머신,179720
메디쎄이,200580
셀젠텍,258250
수프로,185190
엄지하우스,224810
에이원알폼,234070
유니포인트,121060
제노텍,066830
파마리서치바이오,217950
DB금융투자,016610
DL건설,001880
HDC현대EP,089470
HLB글로벌,003580
HSD엔진,082740
KG모빌리티,003620
KR모터스,000040
LF,093050
LG생활건강,051900
LX하우시스,108670
POSCO홀딩스,005490
SG세계물산,004060
SK,034730
TCC스틸,002710
TYM,002900
경보제약,214390
고려산업,002140
고려아연,010130
금양,001570
남광토건,001260
남성,004270
넥센,005720
농심홀딩스,072710
다올투자증권,030210
다우기술,023590
대교,019680
대한제분,001130
동남합성,023450
동일제강,002690
디와이파워,210540
락앤락,115390
롯데에너지머티리얼즈,020150
만호제강,001080
무림P&P,009580
미원홀딩스,107590
방림,003610
사조동아원,008040
삼성전자,005930
삼성증권,016360
삼성화재해상보험,000810
삼아알미늄,006110
삼양통상,002170
삼영전자공업,005680
삼일씨엔에스,004440
삼진제약,005500
삼화전자공업,011230
새론오토모티브,075180
성문전자,014910
세아홀딩스,058650
스틱인베스트먼트,026890
신세계I&C,035510
쌍방울,102280
아남전자,008700
아모레퍼시픽,090430
알루코,001780
에쓰씨엔지니어링,023960
에이엔피,015260
엘에스일렉트릭,010120
오리엔트바이오,002630
오리온홀딩스,001800
와이투솔루션,011690
웅진,016880
원림,005820
유니퀘스트,077500
일동제약,249420
일신석재,007110
주연테크,044380
진양폴리우레탄,010640
케이티,030200
태경비케이,014580
티웨이홀딩스,004870
파미셀,005690
풀무원,017810
하이트진로홀딩스,000140
한국단자공업,025540
한국카본,017960
한농화성,011500
한세엠케이,069640
한전KPS,051600
한전산업,130660
현대약품,004310
현대해상,001450
현대홈쇼핑,057050
화성산업,002460
휴비스,079980
BGF에코머티리얼즈,126600
HB테크놀러지,078150
KG ETS,151860
KNN,058400
NE능률,053290
SBW생명과학,151910
YBM넷,057030
구영테크,053270
그래디언트,035080
그린생명과학,114450
금강철강,053260
나라엠앤디,051490
네이블커뮤니케이션즈,153460
녹십자엠에스,142280
다원시스,068240
대륙제관,004780
